Foldername,BERTScore Precision,BERTScore Recall,BERTScore F1
generated_msg/py/gemma2_9b/0.0,0.87,0.78,0.82
generated_msg/py/gemma2_9b/0.0,0.92,0.94,0.93
generated_msg/py/gemma2_9b/0.0,0.86,0.87,0.86
generated_msg/py/gemma2_9b/0.0,0.85,0.81,0.83
generated_msg/py/gemma2_9b/0.0,0.88,0.82,0.85
generated_msg/py/gemma2_9b/0.0,0.85,0.86,0.85
generated_msg/py/gemma2_9b/0.0,0.84,0.75,0.79
generated_msg/py/gemma2_9b/0.0,0.89,0.89,0.89
generated_msg/py/gemma2_9b/0.0,0.85,0.85,0.85
generated_msg/py/gemma2_9b/0.0,0.93,0.94,0.94
generated_msg/py/gemma2_9b/0.0,0.82,0.78,0.8
generated_msg/py/gemma2_9b/0.0,0.88,0.87,0.87
generated_msg/py/gemma2_9b/0.0,0.88,0.87,0.87
generated_msg/py/gemma2_9b/0.0,0.84,0.82,0.83
generated_msg/py/gemma2_9b/0.0,0.85,0.78,0.81
generated_msg/py/gemma2_9b/0.0,0.81,0.76,0.78
generated_msg/py/gemma2_9b/0.0,0.82,0.79,0.81
generated_msg/py/gemma2_9b/0.0,0.9,0.87,0.88
generated_msg/py/gemma2_9b/0.0,0.87,0.86,0.86
generated_msg/py/gemma2_9b/0.0,0.88,0.86,0.87
generated_msg/py/gemma2_9b/0.0,0.84,0.83,0.84
generated_msg/py/gemma2_9b/0.0,0.86,0.83,0.84
generated_msg/py/gemma2_9b/0.0,0.85,0.78,0.82
generated_msg/py/gemma2_9b/0.0,0.87,0.79,0.83
generated_msg/py/gemma2_9b/0.0,0.89,0.82,0.85
generated_msg/py/gemma2_9b/0.0,0.86,0.87,0.86
generated_msg/py/gemma2_9b/0.0,0.85,0.81,0.83
generated_msg/py/gemma2_9b/0.0,0.86,0.76,0.81
generated_msg/py/gemma2_9b/0.0,0.86,0.77,0.81
generated_msg/py/gemma2_9b/0.0,0.86,0.79,0.82
generated_msg/py/gemma2_9b/0.0,0.87,0.93,0.9
generated_msg/py/gemma2_9b/0.0,0.88,0.88,0.88
generated_msg/py/gemma2_9b/0.0,0.85,0.86,0.86
generated_msg/py/gemma2_9b/0.0,0.83,0.81,0.82
generated_msg/py/gemma2_9b/0.0,0.8,0.85,0.82
generated_msg/py/gemma2_9b/0.0,0.87,0.8,0.83
generated_msg/py/gemma2_9b/0.0,0.85,0.68,0.76
generated_msg/py/gemma2_9b/0.0,0.85,0.8,0.82
generated_msg/py/gemma2_9b/0.0,0.82,0.75,0.78
generated_msg/py/gemma2_9b/0.0,0.89,0.79,0.84
generated_msg/py/gemma2_9b/0.0,0.88,0.87,0.87
generated_msg/py/gemma2_9b/0.0,0.85,0.9,0.87
generated_msg/py/gemma2_9b/0.0,0.91,0.86,0.88
generated_msg/py/gemma2_9b/0.0,0.84,0.81,0.83
generated_msg/py/gemma2_9b/0.0,0.84,0.88,0.86
generated_msg/py/gemma2_9b/0.0,0.86,0.88,0.87
generated_msg/py/gemma2_9b/0.0,0.92,0.79,0.85
generated_msg/py/gemma2_9b/0.0,0.83,0.81,0.82
generated_msg/py/gemma2_9b/0.0,0.88,0.86,0.87
generated_msg/py/gemma2_9b/0.0,0.87,0.73,0.8
generated_msg/py/gemma2_9b/0.0,0.91,0.86,0.88
generated_msg/py/gemma2_9b/0.0,0.86,0.79,0.82
generated_msg/py/gemma2_9b/0.0,0.84,0.87,0.85
generated_msg/py/gemma2_9b/0.0,0.89,0.77,0.83
generated_msg/py/gemma2_9b/0.0,0.87,0.89,0.88
generated_msg/py/gemma2_9b/0.0,0.83,0.83,0.83
generated_msg/py/gemma2_9b/0.0,0.86,0.86,0.86
generated_msg/py/gemma2_9b/0.0,0.85,0.87,0.86
generated_msg/py/gemma2_9b/0.0,0.86,0.84,0.85
generated_msg/py/gemma2_9b/0.0,0.9,0.73,0.81
generated_msg/py/gemma2_9b/0.0,0.8,0.85,0.83
generated_msg/py/gemma2_9b/0.0,0.85,0.8,0.82
generated_msg/py/gemma2_9b/0.0,0.83,0.78,0.8
generated_msg/py/gemma2_9b/0.0,0.87,0.75,0.8
generated_msg/py/gemma2_9b/0.0,0.9,0.83,0.86
generated_msg/py/gemma2_9b/0.0,0.9,0.91,0.91
generated_msg/py/gemma2_9b/0.0,0.87,0.85,0.86
generated_msg/py/gemma2_9b/0.0,0.86,0.9,0.88
generated_msg/py/gemma2_9b/0.0,0.86,0.82,0.84
generated_msg/py/gemma2_9b/0.0,0.84,0.86,0.85
generated_msg/py/gemma2_9b/0.0,0.87,0.86,0.87
generated_msg/py/gemma2_9b/0.0,0.86,0.84,0.85
