Foldername,Line Number,B-Moses,B-Norm,B-NLTK,Rouge-L,METEOR
processed_msg/20000_op_filtered/java/llama2_70b/0.0,1,0.08,8.19,0.00,0.2,0.04
processed_msg/20000_op_filtered/java/llama2_70b/0.0,2,0.20,5.22,8.02,0.182,0.09
processed_msg/20000_op_filtered/java/llama2_70b/0.0,3,0.14,1.34,1.05,0.154,0.09
processed_msg/20000_op_filtered/java/llama2_70b/0.0,4,0.00,0.00,0.00,0,0.00
processed_msg/20000_op_filtered/java/llama2_70b/0.0,5,0.09,5.49,4.66,0.095,0.05
processed_msg/20000_op_filtered/java/llama2_70b/0.0,6,0.14,2.59,3.79,0.133,0.12
processed_msg/20000_op_filtered/java/llama2_70b/0.0,7,0.00,0.00,0.00,0,0.05
processed_msg/20000_op_filtered/java/llama2_70b/0.0,8,0.00,0.00,0.00,0,0.00
processed_msg/20000_op_filtered/java/llama2_70b/0.0,9,0.20,5.60,7.22,0.154,0.08
processed_msg/20000_op_filtered/java/llama2_70b/0.0,10,0.19,0.04,0.03,0.222,0.06
processed_msg/20000_op_filtered/java/llama2_70b/0.0,11,0.33,8.64,8.25,0.143,0.16
processed_msg/20000_op_filtered/java/llama2_70b/0.0,12,0.00,0.00,0.00,0,0.00
processed_msg/20000_op_filtered/java/llama2_70b/0.0,13,0.23,10.37,8.68,0.353,0.24
processed_msg/20000_op_filtered/java/llama2_70b/0.0,14,0.33,14.49,9.27,0.182,0.16
processed_msg/20000_op_filtered/java/llama2_70b/0.0,15,0.00,10.86,0.00,0.2,0.11
processed_msg/20000_op_filtered/java/llama2_70b/0.0,16,0.17,12.19,0.00,0.2,0.16
processed_msg/20000_op_filtered/java/llama2_70b/0.0,17,0.14,11.64,7.84,0,0.14
processed_msg/20000_op_filtered/java/llama2_70b/0.0,18,0.08,0.04,0.05,0.148,0.02
processed_msg/20000_op_filtered/java/llama2_70b/0.0,19,0.25,8.91,7.48,0,0.10
processed_msg/20000_op_filtered/java/llama2_70b/0.0,20,0.00,0.00,0.00,0,0.00
processed_msg/20000_op_filtered/java/llama2_70b/0.0,21,0.25,8.28,5.63,0.167,0.13
processed_msg/20000_op_filtered/java/llama2_70b/0.0,22,0.12,9.38,6.13,0.308,0.13
processed_msg/20000_op_filtered/java/llama2_70b/0.0,23,0.12,0.76,0.75,0.08,0.07
processed_msg/20000_op_filtered/java/llama2_70b/0.0,24,0.29,19.90,9.05,0.222,0.14
processed_msg/20000_op_filtered/java/llama2_70b/0.0,25,0.11,2.52,1.12,0.091,0.04
processed_msg/20000_op_filtered/java/llama2_70b/0.0,26,0.25,10.78,3.15,0.6,0.13
processed_msg/20000_op_filtered/java/llama2_70b/0.0,27,0.10,3.67,3.30,0.133,0.05
processed_msg/20000_op_filtered/java/llama2_70b/0.0,28,0.00,4.30,0.00,0,0.00
processed_msg/20000_op_filtered/java/llama2_70b/0.0,29,0.03,2.26,0.86,0.167,0.01
processed_msg/20000_op_filtered/java/llama2_70b/0.0,30,0.02,0.01,0.10,0.057,0.01
processed_msg/20000_op_filtered/java/llama2_70b/0.0,31,0.09,5.75,6.97,0,0.05
processed_msg/20000_op_filtered/java/llama2_70b/0.0,32,0.00,17.25,0.00,0.222,0.07
processed_msg/20000_op_filtered/java/llama2_70b/0.0,33,0.07,8.44,4.03,0,0.07
processed_msg/20000_op_filtered/java/llama2_70b/0.0,34,0.05,0.86,0.45,0,0.05
processed_msg/20000_op_filtered/java/llama2_70b/0.0,35,0.10,7.64,7.48,0.143,0.05
processed_msg/20000_op_filtered/java/llama2_70b/0.0,36,0.10,6.73,5.37,0,0.05
processed_msg/20000_op_filtered/java/llama2_70b/0.0,37,0.17,4.50,6.95,0.25,0.13
processed_msg/20000_op_filtered/java/llama2_70b/0.0,38,0.43,16.04,10.69,0.333,0.21
