Foldername,Line Number,B-Moses,B-Norm,B-NLTK,Rouge-L,METEOR
replication/llama_7b,1,0.17,5.44,2.76,0,0.06
replication/llama_7b,2,0.00,0.00,0.00,0,0.00
replication/llama_7b,3,0.17,4.71,7.00,0,0.07
replication/llama_7b,4,0.17,8.18,7.40,0.154,0.07
replication/llama_7b,5,0.00,0.00,0.00,0,0.00
replication/llama_7b,6,0.57,8.58,9.59,0.222,0.45
replication/llama_7b,7,0.14,16.15,8.25,0,0.07
replication/llama_7b,8,0.00,0.00,0.00,0,0.00
replication/llama_7b,9,0.17,8.10,5.71,0.235,0.15
replication/llama_7b,10,0.25,14.49,9.27,0.222,0.12
replication/llama_7b,11,0.00,0.00,0.00,0,0.00
replication/llama_7b,12,0.18,6.90,7.84,0,0.09
replication/llama_7b,13,0.17,10.86,7.70,0,0.08
replication/llama_7b,14,0.12,14.51,6.13,0,0.06
replication/llama_7b,15,0.25,12.19,7.84,0,0.11
replication/llama_7b,16,0.00,0.00,0.00,0,0.00
replication/llama_7b,17,0.12,7.56,7.33,0,0.06
replication/llama_7b,18,0.00,0.00,0.00,0,0.06
replication/llama_7b,19,0.38,11.73,9.62,0.154,0.18
replication/llama_7b,20,0.00,0.00,0.00,0,0.00
replication/llama_7b,21,0.25,12.19,7.84,0,0.22
replication/llama_7b,22,0.00,0.00,0.00,0,0.00
replication/llama_7b,23,0.00,0.00,0.00,0,0.00
replication/llama_7b,24,0.00,0.00,0.00,0,0.00
replication/llama_7b,25,0.17,8.18,7.40,0,0.07
replication/llama_7b,26,0.09,8.18,0.00,0.143,0.09
replication/llama_7b,27,0.00,0.00,0.00,0,0.00
replication/llama_7b,28,0.25,13.89,8.02,0.222,0.11
replication/llama_7b,29,0.00,0.00,0.00,0,0.00
replication/llama_7b,30,0.25,9.79,7.58,0.222,0.11
replication/llama_7b,31,0.17,10.86,7.70,0,0.08
replication/llama_7b,32,0.00,0.00,0.00,0,0.07
replication/llama_7b,33,0.00,0.00,0.00,0,0.00
replication/llama_7b,34,0.50,6.36,7.53,0.222,0.21
replication/llama_7b,35,0.00,0.00,0.00,0,0.11
replication/llama_7b,36,0.29,9.25,8.75,0.375,0.14
replication/llama_7b,37,0.25,8.64,8.82,0.25,0.16
replication/llama_7b,38,0.71,37.96,14.68,0.5,0.44
replication/llama_7b,39,0.10,11.12,6.25,0.182,0.05
replication/llama_7b,40,0.00,0.00,0.00,0,0.10
replication/llama_7b,41,0.22,8.36,8.13,0.154,0.10
replication/llama_7b,42,0.00,0.00,0.00,0,0.00
replication/llama_7b,43,0.67,25.28,15.32,0.444,0.42
replication/llama_7b,44,0.00,0.00,0.00,0,0.00
replication/llama_7b,45,0.10,4.82,2.31,0.133,0.05
replication/llama_7b,46,0.11,,,,
replication/llama_7b,47,0.30,14.64,8.74,0.364,0.15
replication/llama_7b,48,0.17,10.86,7.70,0.2,0.08
replication/llama_7b,49,0.50,10.77,8.39,0.364,0.22
replication/llama_7b,50,0.00,0.00,0.00,0,0.10
replication/llama_7b,51,0.38,16.04,10.69,0.222,0.19
replication/llama_7b,52,0.25,13.89,8.02,0.25,0.11
replication/llama_7b,53,0.25,11.64,8.75,0.167,0.12
replication/llama_7b,54,0.29,11.92,10.27,0,0.18
replication/llama_7b,55,0.00,0.00,0.00,0,0.00
replication/llama_7b,56,0.17,10.59,4.86,0.2,0.09
replication/llama_7b,57,0.00,0.00,0.00,0,0.00
replication/llama_7b,58,0.00,4.37,0.00,0.174,0.00
replication/llama_7b,59,0.22,11.64,8.75,0.222,0.11
replication/llama_7b,60,0.36,8.64,8.82,0.105,0.14
