Foldername,B-Moses,B-Norm,B-NLTK,Rouge-L,METEOR
processed_msg/formatted/paper_llama2_70b,1.66,8.68,7.08,0.15,0.17
processed_msg/formatted/llama2_70b,1.73,9.03,6.35,0.149,0.16
processed_msg/formatted/paper_llama2_7b,1.33,8.10,5.71,0.119,0.13
processed_msg/formatted/llama2_7b,1.49,8.23,4.43,0.122,0.11
processed_msg/formatted/nngen,1.32,5.50,2.85,0.049,0.05
processed_msg/formatted/paper_chatgpt,2.91,11.84,7.39,0.183,0.18
processed_msg/formatted/paper_ptrgncmsg,0.81,12.65,4.79,0.16,0.12
processed_msg/formatted/paper_nmt,1.24,9.75,3.74,0.109,0.09
processed_msg/formatted/paper_nngen,2.93,8.92,5.17,0.104,0.10
processed_msg/formatted/paper_commitgen,1.29,9.25,4.14,0.105,0.09
