Metric,Language,Model,Temp,Score
B-Moses,java,codellama_7b,0.0,1.16
B-Moses,js,llama2_70b,0.5,1.34
B-Moses,py,llama2_70b,0.5,3.02
B-Norm,java,llama2_70b,0.0,6.62
B-Norm,js,gemma2_9b,0.0,8.69
B-Norm,py,gemma2_9b,0.0,9.24
B-NLTK,java,codellama_7b,0.0,5.44
B-NLTK,js,llama2_70b,0.5,5.3
B-NLTK,py,llama2_70b,0.0,7.06
Rouge-L,java,codellama_7b,0.0,0.13
Rouge-L,js,gemma2_9b,0.0,0.172
Rouge-L,py,gemma2_9b,0.0,0.181
METEOR,java,codellama_7b,0.0,0.12
METEOR,js,gemma2_9b,0.0,0.12
METEOR,py,llama2_70b,0.0,0.15
