Lang,Model,Temp,B-Moses,B-Norm,B-NLTK,Rouge-L,METEOR,BERTScore
java,codellama_7b,0,1.16,6.32,5.44,0.13,0.12,
java,codellama_7b,0.5,0.91,6.18,5.27,0.126,0.12,
java,codellama_7b,1,1.03,5.96,4.96,0.118,0.11,
js,codellama_7b,0,1.06,7.15,5.09,0.139,0.11,
js,codellama_7b,0.5,0.87,7,5.06,0.137,0.11,
js,codellama_7b,1,1,7.16,4.98,0.14,0.11,
py,codellama_7b,0,2.04,7.46,5.83,0.146,0.13,
py,codellama_7b,0.5,2.11,7.37,5.76,0.146,0.13,
py,codellama_7b,1,1.91,7.46,5.7,0.143,0.12,
java,gemma2_9b,0,0.64,6.08,3.97,0.124,0.1,
java,gemma2_9b,0.5,0.65,5.48,3.6,0.113,0.09,
java,gemma2_9b,1,0.68,5.07,3.43,0.106,0.09,
js,gemma2_9b,0,1.01,8.69,5.1,0.172,0.12,
js,gemma2_9b,0.5,1.01,8.26,5.03,0.163,0.12,
js,gemma2_9b,1,0.85,7.2,4.44,0.143,0.1,
py,gemma2_9b,0,1.88,9.24,5.92,0.181,0.14,
py,gemma2_9b,0.5,1.95,8.65,5.66,0.173,0.14,
py,gemma2_9b,1,1.8,7.74,5.35,0.153,0.13,
java,llama2_70b,0,0.91,6.62,4.8,0.126,0.11,
java,llama2_70b,0.5,0.96,6.56,4.72,0.124,0.1,
java,llama2_70b,1,0.98,6.34,4.66,0.12,0.1,
js,llama2_70b,0,1.23,7.55,5.15,0.149,0.12,
js,llama2_70b,0.5,1.34,7.74,5.3,0.15,0.12,
js,llama2_70b,1,1.21,7.34,5.15,0.145,0.11,
py,llama2_70b,0,2.9,8.4,7.06,0.165,0.15,
py,llama2_70b,0.5,3.02,8.45,7,0.163,0.15,
py,llama2_70b,1,2.64,8.25,6.74,0.161,0.14,
java,llama2_7b,0,0.38,5.64,3.47,0.109,0.08,
java,llama2_7b,0.5,0.41,5.5,3.47,0.107,0.08,
java,llama2_7b,1,0.45,5.54,3.55,0.109,0.08,
js,llama2_7b,0,0.54,7.13,3.97,0.132,0.1,
js,llama2_7b,0.5,0.55,7.08,4.03,0.131,0.1,
js,llama2_7b,1,0.64,6.93,4.11,0.131,0.1,
py,llama2_7b,0,1.25,7.02,4.51,0.133,0.1,
py,llama2_7b,0.5,1.25,6.73,4.45,0.129,0.1,
py,llama2_7b,1,0.83,5.62,3.7,0.11,0.08,
java,llama3.2_3b,0,0.68,6.45,4.14,0.128,0.1,
java,llama3.2_3b,0.5,0.69,6.37,4.19,0.126,0.1,
java,llama3.2_3b,1,0.68,5.86,4.07,0.117,0.1,
js,llama3.2_3b,0,0.57,7.74,4.75,0.151,0.11,
js,llama3.2_3b,0.5,0.62,7.89,4.9,0.151,0.11,
js,llama3.2_3b,1,0.78,7.62,4.69,0.142,0.11,
py,llama3.2_3b,0,1.65,8.29,5.56,0.158,0.13,
py,llama3.2_3b,0.5,1.53,8.21,5.51,0.155,0.12,
py,llama3.2_3b,1,1.68,7.89,5.36,0.149,0.12,
