ModelName,BERTScore Precision (Mean),BERTScore Recall (Mean),BERTScore F1 (Mean)
codellama_7b,0.87,0.83,0.85
codellama_7b,0.89,0.93,0.91
codellama_7b,0.87,0.87,0.87
codellama_7b,0.83,0.81,0.82
codellama_7b,0.85,0.84,0.85
codellama_7b,0.85,0.84,0.84
codellama_7b,0.85,0.81,0.83
codellama_7b,0.85,0.87,0.86
codellama_7b,0.84,0.9,0.87
codellama_7b,0.88,0.85,0.86
codellama_7b,0.85,0.88,0.86
codellama_7b,0.85,0.85,0.85
codellama_7b,0.86,0.87,0.86
codellama_7b,0.83,0.83,0.83
codellama_7b,0.86,0.83,0.85
codellama_7b,0.82,0.81,0.81
codellama_7b,0.85,0.84,0.84
codellama_7b,0.91,0.88,0.89
codellama_7b,0.87,0.86,0.86
codellama_7b,0.87,0.86,0.87
codellama_7b,0.86,0.86,0.86
codellama_7b,0.88,0.86,0.87
codellama_7b,0.84,0.82,0.83
codellama_7b,0.87,0.84,0.86
codellama_7b,0.88,0.83,0.85
codellama_7b,0.84,0.88,0.86
codellama_7b,0.86,0.83,0.85
codellama_7b,0.9,0.81,0.85
codellama_7b,0.83,0.83,0.83
codellama_7b,0.86,0.82,0.84
codellama_7b,0.85,0.92,0.88
codellama_7b,0.9,0.9,0.9
codellama_7b,0.84,0.84,0.84
codellama_7b,0.83,0.84,0.83
codellama_7b,0.84,0.85,0.85
codellama_7b,0.86,0.83,0.84
codellama_7b,0.85,0.75,0.79
codellama_7b,0.84,0.8,0.82
codellama_7b,0.83,0.81,0.82
codellama_7b,0.9,0.88,0.89
codellama_7b,0.87,0.86,0.86
codellama_7b,0.87,0.87,0.87
codellama_7b,0.9,0.87,0.89
codellama_7b,0.89,0.87,0.88
codellama_7b,0.93,0.92,0.93
codellama_7b,0.86,0.87,0.86
codellama_7b,0.93,0.89,0.91
codellama_7b,0.85,0.82,0.83
codellama_7b,0.88,0.85,0.86
codellama_7b,0.88,0.8,0.84
codellama_7b,0.91,0.9,0.9
codellama_7b,0.86,0.81,0.83
codellama_7b,0.84,0.83,0.84
codellama_7b,0.88,0.85,0.86
codellama_7b,0.87,0.89,0.88
codellama_7b,0.85,0.84,0.84
codellama_7b,0.84,0.85,0.84
codellama_7b,0.82,0.84,0.83
codellama_7b,0.86,0.83,0.85
codellama_7b,0.89,0.79,0.84
codellama_7b,0.89,0.86,0.87
codellama_7b,0.83,0.85,0.84
codellama_7b,0.84,0.81,0.82
codellama_7b,0.83,0.75,0.79
codellama_7b,0.94,0.87,0.9
codellama_7b,0.82,0.84,0.83
codellama_7b,0.87,0.85,0.86
codellama_7b,0.86,0.91,0.88
codellama_7b,0.86,0.83,0.84
codellama_7b,0.85,0.85,0.85
codellama_7b,0.88,0.85,0.86
codellama_7b,0.85,0.83,0.84
codellama_7b,0.91,0.93,0.92
codellama_7b,0.88,0.87,0.87
codellama_7b,0.85,0.84,0.85
codellama_7b,0.87,0.9,0.89
codellama_7b,0.89,0.84,0.87
codellama_7b,0.85,0.83,0.84
codellama_7b,0.83,0.86,0.85
codellama_7b,0.87,0.9,0.88
codellama_7b,0.83,0.84,0.83
codellama_7b,0.9,0.9,0.9
codellama_7b,0.86,0.83,0.85
codellama_7b,0.86,0.84,0.85
codellama_7b,0.85,0.84,0.85
codellama_7b,0.88,0.88,0.88
codellama_7b,0.91,0.95,0.93
codellama_7b,0.88,0.83,0.86
codellama_7b,0.85,0.8,0.83
codellama_7b,0.87,0.82,0.84
codellama_7b,0.82,0.81,0.81
codellama_7b,0.87,0.85,0.86
codellama_7b,0.86,0.8,0.83
codellama_7b,0.88,0.9,0.89
codellama_7b,0.85,0.86,0.85
codellama_7b,0.86,0.91,0.88
codellama_7b,0.83,0.89,0.86
codellama_7b,0.85,0.85,0.85
codellama_7b,0.82,0.81,0.81
codellama_7b,0.82,0.79,0.81
codellama_7b,0.9,0.88,0.89
codellama_7b,0.84,0.85,0.84
codellama_7b,0.88,0.93,0.91
codellama_7b,0.88,0.86,0.87
codellama_7b,0.83,0.84,0.83
codellama_7b,0.87,0.83,0.85
codellama_7b,0.87,0.82,0.84
codellama_7b,0.85,0.81,0.83
codellama_7b,0.83,0.86,0.84
codellama_7b,0.85,0.86,0.85
codellama_7b,0.88,0.88,0.88
codellama_7b,0.86,0.9,0.88
codellama_7b,0.96,0.96,0.96
codellama_7b,0.89,0.88,0.89
codellama_7b,0.83,0.82,0.83
codellama_7b,0.85,0.82,0.84
codellama_7b,0.88,0.86,0.87
codellama_7b,0.83,0.83,0.83
codellama_7b,0.87,0.89,0.88
codellama_7b,0.87,0.89,0.88
codellama_7b,0.84,0.89,0.86
codellama_7b,0.87,0.89,0.88
codellama_7b,0.83,0.84,0.84
codellama_7b,0.87,0.87,0.87
codellama_7b,0.84,0.86,0.85
codellama_7b,0.86,0.85,0.85
codellama_7b,0.85,0.85,0.85
codellama_7b,0.85,0.8,0.83
codellama_7b,0.86,0.84,0.85
codellama_7b,0.86,0.89,0.88
codellama_7b,0.88,0.97,0.92
codellama_7b,0.91,0.91,0.91
codellama_7b,0.86,0.83,0.84
codellama_7b,0.86,0.83,0.85
codellama_7b,0.89,0.87,0.88
codellama_7b,0.9,0.88,0.89
codellama_7b,0.87,0.87,0.87
codellama_7b,0.87,0.87,0.87
codellama_7b,0.86,0.8,0.83
codellama_7b,0.87,0.87,0.87
codellama_7b,0.85,0.84,0.84
codellama_7b,0.89,0.9,0.9
codellama_7b,0.84,0.85,0.85
codellama_7b,0.88,0.86,0.87
codellama_7b,0.83,0.84,0.83
codellama_7b,0.9,0.89,0.89
codellama_7b,0.83,0.81,0.82
codellama_7b,0.86,0.82,0.84
codellama_7b,0.83,0.88,0.85
codellama_7b,0.83,0.8,0.82
codellama_7b,0.87,0.86,0.87
codellama_7b,0.83,0.82,0.82
codellama_7b,0.84,0.85,0.85
codellama_7b,0.86,0.84,0.85
codellama_7b,0.88,0.89,0.89
codellama_7b,0.84,0.86,0.85
codellama_7b,0.87,0.83,0.85
codellama_7b,0.87,0.78,0.83
codellama_7b,0.85,0.9,0.87
codellama_7b,0.87,0.88,0.88
codellama_7b,0.86,0.89,0.87
codellama_7b,0.88,0.89,0.88
codellama_7b,0.85,0.75,0.8
codellama_7b,0.86,0.79,0.82
codellama_7b,0.84,0.84,0.84
codellama_7b,0.84,0.81,0.82
codellama_7b,0.87,0.86,0.86
codellama_7b,0.85,0.82,0.83
codellama_7b,0.82,0.81,0.82
codellama_7b,0.84,0.87,0.86
codellama_7b,0.83,0.85,0.84
codellama_7b,0.87,0.84,0.86
codellama_7b,0.87,0.86,0.86
codellama_7b,0.85,0.82,0.83
codellama_7b,0.85,0.83,0.84
codellama_7b,0.86,0.84,0.85
codellama_7b,0.89,0.78,0.83
codellama_7b,0.83,0.83,0.83
codellama_7b,0.84,0.83,0.84
codellama_7b,0.89,0.8,0.84
codellama_7b,0.86,0.78,0.82
codellama_7b,0.84,0.84,0.84
codellama_7b,0.88,0.85,0.86
codellama_7b,0.82,0.84,0.83
codellama_7b,0.86,0.86,0.86
codellama_7b,0.88,0.81,0.84
codellama_7b,0.88,0.88,0.88
codellama_7b,0.84,0.82,0.83
codellama_7b,0.85,0.86,0.85
codellama_7b,0.85,0.74,0.79
codellama_7b,0.86,0.88,0.87
codellama_7b,0.92,0.91,0.91
codellama_7b,0.85,0.9,0.87
codellama_7b,0.89,0.85,0.87
codellama_7b,0.85,0.83,0.84
codellama_7b,0.89,0.88,0.88
codellama_7b,0.87,0.84,0.86
codellama_7b,0.84,0.84,0.84
codellama_7b,0.82,0.83,0.83
codellama_7b,0.9,0.87,0.88
codellama_7b,0.87,0.84,0.85
codellama_7b,0.85,0.85,0.85
codellama_7b,0.89,0.84,0.87
codellama_7b,0.85,0.77,0.81
codellama_7b,0.86,0.81,0.83
codellama_7b,0.85,0.73,0.79
codellama_7b,0.85,0.89,0.87
codellama_7b,0.85,0.86,0.86
codellama_7b,0.88,0.9,0.89
codellama_7b,0.83,0.78,0.8
codellama_7b,0.86,0.9,0.88
codellama_7b,0.91,0.92,0.91
codellama_7b,0.84,0.83,0.83
codellama_7b,0.83,0.86,0.84
codellama_7b,0.87,0.86,0.86
codellama_7b,0.88,0.85,0.86
codellama_7b,0.89,0.84,0.86
codellama_7b,0.87,0.88,0.87
codellama_7b,0.82,0.86,0.84
codellama_7b,0.87,0.85,0.86
codellama_7b,0.86,0.88,0.87
codellama_7b,0.82,0.8,0.81
codellama_7b,0.84,0.85,0.85
codellama_7b,0.81,0.8,0.81
codellama_7b,0.84,0.82,0.83
codellama_7b,0.88,0.84,0.86
codellama_7b,0.87,0.81,0.84
codellama_7b,0.82,0.83,0.83
codellama_7b,0.9,0.91,0.9
codellama_7b,0.85,0.77,0.81
codellama_7b,0.87,0.87,0.87
codellama_7b,0.84,0.8,0.82
codellama_7b,0.85,0.85,0.85
codellama_7b,0.83,0.84,0.84
codellama_7b,0.88,0.83,0.86
codellama_7b,0.87,0.86,0.86
codellama_7b,0.88,0.87,0.88
codellama_7b,0.83,0.84,0.84
codellama_7b,0.92,0.89,0.91
codellama_7b,0.89,0.9,0.9
codellama_7b,0.88,0.88,0.88
codellama_7b,0.89,0.87,0.88
codellama_7b,0.88,0.85,0.86
codellama_7b,0.83,0.81,0.82
codellama_7b,0.85,0.79,0.82
codellama_7b,0.84,0.82,0.83
codellama_7b,0.9,0.95,0.92
codellama_7b,0.84,0.83,0.84
codellama_7b,0.85,0.83,0.84
codellama_7b,0.88,0.88,0.88
codellama_7b,0.89,0.88,0.88
codellama_7b,0.85,0.83,0.84
codellama_7b,0.85,0.83,0.84
codellama_7b,0.91,0.92,0.91
codellama_7b,0.85,0.84,0.84
codellama_7b,0.85,0.82,0.84
codellama_7b,0.89,0.87,0.88
codellama_7b,0.84,0.89,0.87
codellama_7b,0.89,0.84,0.86
codellama_7b,0.91,0.93,0.92
codellama_7b,0.87,0.81,0.84
codellama_7b,0.8,0.83,0.82
codellama_7b,0.86,0.89,0.88
codellama_7b,0.84,0.85,0.85
codellama_7b,0.85,0.85,0.85
codellama_7b,0.91,0.93,0.92
codellama_7b,0.87,0.9,0.88
codellama_7b,0.86,0.77,0.82
codellama_7b,0.86,0.82,0.84
codellama_7b,0.87,0.84,0.85
codellama_7b,0.84,0.8,0.82
codellama_7b,0.84,0.85,0.84
codellama_7b,0.83,0.84,0.84
codellama_7b,0.84,0.84,0.84
codellama_7b,0.84,0.87,0.86
codellama_7b,0.85,0.89,0.87
codellama_7b,0.84,0.9,0.87
codellama_7b,0.86,0.83,0.85
codellama_7b,0.85,0.86,0.85
codellama_7b,0.89,0.89,0.89
codellama_7b,0.89,0.85,0.87
codellama_7b,0.92,0.9,0.91
codellama_7b,0.89,0.81,0.85
codellama_7b,0.83,0.84,0.84
codellama_7b,0.84,0.86,0.85
codellama_7b,0.87,0.85,0.86
codellama_7b,0.85,0.8,0.83
codellama_7b,0.87,0.82,0.85
codellama_7b,0.87,0.87,0.87
codellama_7b,0.84,0.82,0.83
codellama_7b,0.85,0.8,0.82
codellama_7b,0.84,0.88,0.86
codellama_7b,0.9,0.86,0.88
codellama_7b,0.84,0.8,0.82
codellama_7b,0.89,0.91,0.9
codellama_7b,0.9,0.88,0.89
codellama_7b,0.87,0.91,0.89
codellama_7b,0.85,0.83,0.84
codellama_7b,0.88,0.86,0.87
codellama_7b,0.88,0.94,0.91
codellama_7b,0.84,0.82,0.83
codellama_7b,0.83,0.8,0.81
codellama_7b,0.89,0.82,0.85
codellama_7b,0.83,0.82,0.83
