Foldername,Line Number,B-Moses,B-Norm,B-NLTK,Rouge-L,METEOR
processed_msg/formatted/paper_llama2_7b,1,0.17,5.44,2.76,0,0.06
processed_msg/formatted/paper_llama2_7b,2,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,3,0.17,4.71,7.00,0,0.07
processed_msg/formatted/paper_llama2_7b,4,0.17,8.18,7.40,0.154,0.07
processed_msg/formatted/paper_llama2_7b,5,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,6,0.57,8.58,9.59,0.222,0.45
processed_msg/formatted/paper_llama2_7b,7,0.14,16.15,8.25,0,0.07
processed_msg/formatted/paper_llama2_7b,8,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,9,0.17,8.10,5.71,0.235,0.15
processed_msg/formatted/paper_llama2_7b,10,0.25,14.49,9.27,0.222,0.12
processed_msg/formatted/paper_llama2_7b,11,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,12,0.18,6.90,7.84,0,0.09
processed_msg/formatted/paper_llama2_7b,13,0.17,10.86,7.70,0,0.08
processed_msg/formatted/paper_llama2_7b,14,0.12,14.51,6.13,0,0.06
processed_msg/formatted/paper_llama2_7b,15,0.25,12.19,7.84,0,0.11
processed_msg/formatted/paper_llama2_7b,16,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,17,0.12,7.56,7.33,0,0.06
processed_msg/formatted/paper_llama2_7b,18,0.00,0.00,0.00,0,0.06
processed_msg/formatted/paper_llama2_7b,19,0.38,11.73,9.62,0.154,0.18
processed_msg/formatted/paper_llama2_7b,20,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,21,0.25,12.19,7.84,0,0.22
processed_msg/formatted/paper_llama2_7b,22,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,23,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,24,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,25,0.17,8.18,7.40,0,0.07
processed_msg/formatted/paper_llama2_7b,26,0.09,8.18,0.00,0.143,0.09
processed_msg/formatted/paper_llama2_7b,27,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,28,0.25,13.89,8.02,0.222,0.11
processed_msg/formatted/paper_llama2_7b,29,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,30,0.25,9.79,7.58,0.222,0.11
processed_msg/formatted/paper_llama2_7b,31,0.17,10.86,7.70,0,0.08
processed_msg/formatted/paper_llama2_7b,32,0.00,0.00,0.00,0,0.07
processed_msg/formatted/paper_llama2_7b,33,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,34,0.50,6.36,7.53,0.222,0.21
processed_msg/formatted/paper_llama2_7b,35,0.00,0.00,0.00,0,0.11
processed_msg/formatted/paper_llama2_7b,36,0.29,9.25,8.75,0.375,0.14
processed_msg/formatted/paper_llama2_7b,37,0.25,8.64,8.82,0.25,0.16
processed_msg/formatted/paper_llama2_7b,38,0.71,37.96,14.68,0.5,0.44
processed_msg/formatted/paper_llama2_7b,39,0.10,11.12,6.25,0.182,0.05
processed_msg/formatted/paper_llama2_7b,40,0.00,0.00,0.00,0,0.10
processed_msg/formatted/paper_llama2_7b,41,0.22,8.36,8.13,0.154,0.10
processed_msg/formatted/paper_llama2_7b,42,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,43,0.67,25.28,15.32,0.444,0.42
processed_msg/formatted/paper_llama2_7b,44,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,45,0.10,4.82,2.31,0.133,0.05
processed_msg/formatted/paper_llama2_7b,46,0.11,,,,
processed_msg/formatted/paper_llama2_7b,47,0.30,14.64,8.74,0.364,0.15
processed_msg/formatted/paper_llama2_7b,48,0.17,10.86,7.70,0.2,0.08
processed_msg/formatted/paper_llama2_7b,49,0.50,10.77,8.39,0.364,0.22
processed_msg/formatted/paper_llama2_7b,50,0.00,0.00,0.00,0,0.10
processed_msg/formatted/paper_llama2_7b,51,0.38,16.04,10.69,0.222,0.19
processed_msg/formatted/paper_llama2_7b,52,0.25,13.89,8.02,0.25,0.11
processed_msg/formatted/paper_llama2_7b,53,0.25,11.64,8.75,0.167,0.12
processed_msg/formatted/paper_llama2_7b,54,0.29,11.92,10.27,0,0.18
processed_msg/formatted/paper_llama2_7b,55,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,56,0.17,10.59,4.86,0.2,0.09
processed_msg/formatted/paper_llama2_7b,57,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,58,0.00,4.37,0.00,0.174,0.00
processed_msg/formatted/paper_llama2_7b,59,0.22,11.64,8.75,0.222,0.11
processed_msg/formatted/paper_llama2_7b,60,0.36,8.64,8.82,0.105,0.14
processed_msg/formatted/paper_llama2_7b,61,0.14,12.19,7.84,0,0.07
processed_msg/formatted/paper_llama2_7b,62,0.50,,,,
processed_msg/formatted/paper_llama2_7b,63,0.71,23.62,22.06,0.471,0.36
processed_msg/formatted/paper_llama2_7b,64,0.42,15.15,12.00,0.286,0.27
processed_msg/formatted/paper_llama2_7b,65,0.25,13.89,8.02,0.25,0.11
processed_msg/formatted/paper_llama2_7b,66,0.50,9.76,8.55,0.4,0.29
processed_msg/formatted/paper_llama2_7b,67,0.25,5.76,3.78,0.143,0.11
processed_msg/formatted/paper_llama2_7b,68,0.11,12.19,7.84,0.167,0.06
processed_msg/formatted/paper_llama2_7b,69,0.33,16.15,8.25,0.25,0.15
processed_msg/formatted/paper_llama2_7b,70,0.17,13.89,8.02,0.25,0.08
processed_msg/formatted/paper_llama2_7b,71,0.40,42.64,10.08,0.5,0.19
processed_msg/formatted/paper_llama2_7b,72,0.50,11.57,10.10,0,0.28
processed_msg/formatted/paper_llama2_7b,73,0.50,14.29,10.26,0.2,0.31
processed_msg/formatted/paper_llama2_7b,74,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,75,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,76,0.14,16.15,8.25,0.286,0.07
processed_msg/formatted/paper_llama2_7b,77,0.00,0.00,0.00,0,0.55
processed_msg/formatted/paper_llama2_7b,78,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,79,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,80,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,81,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,82,0.08,8.90,4.86,0,0.04
processed_msg/formatted/paper_llama2_7b,83,1.00,24.03,20.71,0.444,0.51
processed_msg/formatted/paper_llama2_7b,84,1.00,,,,
processed_msg/formatted/paper_llama2_7b,85,0.40,,,,
processed_msg/formatted/paper_llama2_7b,86,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,87,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,88,0.33,13.94,7.61,0.333,0.22
processed_msg/formatted/paper_llama2_7b,89,0.18,11.83,6.61,0.182,0.09
processed_msg/formatted/paper_llama2_7b,90,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,91,1.62,24.87,22.90,0.571,0.39
processed_msg/formatted/paper_llama2_7b,92,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,93,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,94,0.00,0.00,0.00,0,0.04
processed_msg/formatted/paper_llama2_7b,95,0.18,11.65,4.66,0.364,0.09
processed_msg/formatted/paper_llama2_7b,96,0.30,11.03,7.02,0,0.05
processed_msg/formatted/paper_llama2_7b,97,0.10,10.86,7.70,0.154,0.05
processed_msg/formatted/paper_llama2_7b,98,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,99,0.33,10.86,7.70,0.2,0.14
processed_msg/formatted/paper_llama2_7b,100,0.25,14.49,9.27,0,0.32
processed_msg/formatted/paper_llama2_7b,101,0.87,22.75,15.92,0.333,0.20
processed_msg/formatted/paper_llama2_7b,102,0.00,0.00,0.00,0,0.08
processed_msg/formatted/paper_llama2_7b,103,1.00,19.64,8.02,0.5,0.54
processed_msg/formatted/paper_llama2_7b,104,0.14,4.71,7.22,0.125,0.13
processed_msg/formatted/paper_llama2_7b,105,0.40,9.73,8.39,0.182,0.17
