Foldername,B-Moses,B-Norm,B-NLTK,Rouge-L,METEOR
processed_msg/1000_rows/py/codellama_7b/1.0,1.91,7.46,5.70,0.143,0.12
processed_msg/1000_rows/py/codellama_7b/0.5,2.11,7.37,5.76,0.146,0.13
processed_msg/1000_rows/py/codellama_7b/0.0,2.04,7.46,5.83,0.146,0.13
processed_msg/1000_rows/py/gemma2_9b/1.0,1.80,7.74,5.35,0.153,0.13
processed_msg/1000_rows/py/gemma2_9b/0.5,1.95,8.65,5.66,0.173,0.14
processed_msg/1000_rows/py/gemma2_9b/0.0,1.88,9.24,5.92,0.181,0.14
processed_msg/1000_rows/py/llama3.2_3b/1.0,1.68,7.89,5.36,0.149,0.12
processed_msg/1000_rows/py/llama3.2_3b/0.5,1.53,8.21,5.51,0.155,0.12
processed_msg/1000_rows/py/llama3.2_3b/0.0,1.65,8.29,5.56,0.158,0.13
processed_msg/1000_rows/js/codellama_7b/1.0,1.00,7.16,4.98,0.14,0.11
processed_msg/1000_rows/js/codellama_7b/0.5,0.87,7.00,5.06,0.137,0.11
processed_msg/1000_rows/js/codellama_7b/0.0,1.06,7.15,5.09,0.139,0.11
processed_msg/1000_rows/js/gemma2_9b/1.0,0.85,7.20,4.44,0.143,0.10
processed_msg/1000_rows/js/gemma2_9b/0.5,1.01,8.26,5.03,0.163,0.12
processed_msg/1000_rows/js/gemma2_9b/0.0,1.01,8.69,5.10,0.172,0.12
processed_msg/1000_rows/js/llama3.2_3b/1.0,0.78,7.62,4.69,0.142,0.11
processed_msg/1000_rows/js/llama3.2_3b/0.5,0.62,7.89,4.90,0.151,0.11
processed_msg/1000_rows/js/llama3.2_3b/0.0,0.57,7.74,4.75,0.151,0.11
processed_msg/1000_rows/java/codellama_7b/1.0,1.03,5.96,4.96,0.118,0.11
processed_msg/1000_rows/java/codellama_7b/0.5,0.91,6.18,5.27,0.126,0.12
processed_msg/1000_rows/java/codellama_7b/0.0,1.16,6.32,5.44,0.13,0.12
processed_msg/1000_rows/java/gemma2_9b/1.0,0.68,5.07,3.43,0.106,0.09
processed_msg/1000_rows/java/gemma2_9b/0.5,0.65,5.48,3.60,0.113,0.09
processed_msg/1000_rows/java/gemma2_9b/0.0,0.64,6.08,3.97,0.124,0.10
processed_msg/1000_rows/java/llama3.2_3b/1.0,0.68,5.86,4.07,0.117,0.10
processed_msg/1000_rows/java/llama3.2_3b/0.5,0.69,6.37,4.19,0.126,0.10
processed_msg/1000_rows/java/llama3.2_3b/0.0,0.68,6.45,4.14,0.128,0.10
